Category,Realdash Name,Units,Target ID,id,type,unit,name,desc,Idle Expected,Cruise Expected,WOT Expected,Accessport Monitor
ENGINE/ECU INPUTS,AFR 1,AFR,0,,,,,,,,,
ENGINE/ECU INPUTS,AFR 2,AFR,1,,,,,,,,,
ENGINE/ECU INPUTS,AFR Target 1,AFR,2,,,,,,,,,
ENGINE/ECU INPUTS,AFR Target 2,AFR,3,,,,,,,,,
ENGINE/ECU INPUTS,Accel Enrich,ms,4,,,,,,,,,
ENGINE/ECU INPUTS,Barometric Correction,%,10,,,,,,,,,
ENGINE/ECU INPUTS,Barometric Pressure,kPa,11,P24,Standard,kPa,Atmospheric Pressure,P24,-,-,-,Barometric Pressure
ENGINE/ECU INPUTS,Battery Voltage,v,12,P17,Standard,V,Battery Voltage,P17,13.5 - 14.5 V,13.5 - 14.5 V,13.5 - 14.5 V,Battery Voltage
ENGINE/ECU INPUTS,Boost Target (kPa),kPa,270,E36,Fixed Addr,kPa absolute,Target Boost (4-byte)*,"E36-Current boost target as determined by the Target Boost table(s). This includes any compensation, if applicable.",N/A,N/A,~14.5 psi (Stock),Target Boost
ENGINE/ECU INPUTS,Check Engine Light,On/Off,65,,,,,,,,,
ENGINE/ECU INPUTS,Cold Advance,deg,13,,,,,,,,,
ENGINE/ECU INPUTS,Coolant Pressure,Bar,759,,,,,,,,,
ENGINE/ECU INPUTS,Coolant Temperature,Celsius,14,P2,Standard,C,Coolant Temperature,P2,80 - 96 C,80 - 96 C,80 - 96 C,Coolant Temp
ENGINE/ECU INPUTS,EGT1,Celsius,106,,,,,,,,,
ENGINE/ECU INPUTS,EGT10,Celsius,115,,,,,,,,,
ENGINE/ECU INPUTS,EGT11,Celsius,116,,,,,,,,,
ENGINE/ECU INPUTS,EGT12,Celsius,117,,,,,,,,,
ENGINE/ECU INPUTS,EGT2,Celsius,107,,,,,,,,,
ENGINE/ECU INPUTS,EGT3,Celsius,108,,,,,,,,,
ENGINE/ECU INPUTS,EGT4,Celsius,109,,,,,,,,,
ENGINE/ECU INPUTS,EGT5,Celsius,110,,,,,,,,,
ENGINE/ECU INPUTS,EGT6,Celsius,111,,,,,,,,,
ENGINE/ECU INPUTS,EGT7,Celsius,112,,,,,,,,,
ENGINE/ECU INPUTS,EGT8,Celsius,113,,,,,,,,,
ENGINE/ECU INPUTS,EGT9,Celsius,114,,,,,,,,,
ENGINE/ECU INPUTS,Engine Load,%,100,E32,Fixed Addr,g/rev,Engine Load (4-Byte)*,E32-This is the current engine load (g/rev) as determined by the ECU.,0.15 - 0.40 g/rev,0.30 - 1.00 g/rev,2.0 - 3.5 g/rev,Calculated Load
ENGINE/ECU INPUTS,Engine Oil Pressure,Bar,151,,,,,,,,,
ENGINE/ECU INPUTS,Engine Oil Temperature,Celsius,152,,,,,,,,,
ENGINE/ECU INPUTS,Engine Runtime (sec),s,33,,,,,,,,,
ENGINE/ECU INPUTS,Enginebit: Antiflood,On/Off,393,,,,,,,,,
ENGINE/ECU INPUTS,Enginebit: Closed Loop Active,On/Off,395,,,,,,,,,
ENGINE/ECU INPUTS,Enginebit: Cranking,On/Off,57,,,,,,,,,
ENGINE/ECU INPUTS,Enginebit: Fuel Cut Active,On/Off,406,,,,,,,,,
ENGINE/ECU INPUTS,Enginebit: Idle,On/Off,396,,,,,,,,,
ENGINE/ECU INPUTS,Enginebit: Launch Control,On/Off,394,,,,,,,,,
