Category,Realdash Name,Units,Target ID
ENGINE/ECU INPUTS,AFR 1,AFR,0
ENGINE/ECU INPUTS,AFR 2,AFR,1
ENGINE/ECU INPUTS,AFR Target 1,AFR,2
ENGINE/ECU INPUTS,AFR Target 2,AFR,3
ENGINE/ECU INPUTS,Accel Enrich,ms,4
ENGINE/ECU INPUTS,Barometric Correction,%,10
ENGINE/ECU INPUTS,Barometric Pressure,kPa,11
ENGINE/ECU INPUTS,Battery Voltage,v,12
ENGINE/ECU INPUTS,Boost Target (kPa),kPa,270
ENGINE/ECU INPUTS,Check Engine Light,On/Off,65
ENGINE/ECU INPUTS,Cold Advance,deg,13
ENGINE/ECU INPUTS,Coolant Pressure,Bar,759
ENGINE/ECU INPUTS,Coolant Temperature,Celsius,14
ENGINE/ECU INPUTS,EGT1,Celsius,106
ENGINE/ECU INPUTS,EGT10,Celsius,115
ENGINE/ECU INPUTS,EGT11,Celsius,116
ENGINE/ECU INPUTS,EGT12,Celsius,117
ENGINE/ECU INPUTS,EGT2,Celsius,107
ENGINE/ECU INPUTS,EGT3,Celsius,108
ENGINE/ECU INPUTS,EGT4,Celsius,109
ENGINE/ECU INPUTS,EGT5,Celsius,110
ENGINE/ECU INPUTS,EGT6,Celsius,111
ENGINE/ECU INPUTS,EGT7,Celsius,112
ENGINE/ECU INPUTS,EGT8,Celsius,113
ENGINE/ECU INPUTS,EGT9,Celsius,114
ENGINE/ECU INPUTS,Engine Load,%,100
ENGINE/ECU INPUTS,Engine Oil Pressure,Bar,151
ENGINE/ECU INPUTS,Engine Oil Temperature,Celsius,152
ENGINE/ECU INPUTS,Engine Runtime (sec),s,33
ENGINE/ECU INPUTS,Enginebit: Antiflood,On/Off,393
ENGINE/ECU INPUTS,Enginebit: Closed Loop Active,On/Off,395
ENGINE/ECU INPUTS,Enginebit: Cranking,On/Off,57
ENGINE/ECU INPUTS,Enginebit: Fuel Cut Active,On/Off,406
ENGINE/ECU INPUTS,Enginebit: Idle,On/Off,396
ENGINE/ECU INPUTS,Enginebit: Launch Control,On/Off,394
ENGINE/ECU INPUTS,Enginebit: MAP accel active,On/Off,62
ENGINE/ECU INPUTS,Enginebit: MAP deaccel active,On/Off,63
ENGINE/ECU INPUTS,Enginebit: Overrun,On/Off,397
ENGINE/ECU INPUTS,Enginebit: Running,On/Off,56
ENGINE/ECU INPUTS,Enginebit: Startup Enrich,On/Off,58
ENGINE/ECU INPUTS,Enginebit: TPS accel active,On/Off,60
ENGINE/ECU INPUTS,Enginebit: TPS deaccel active,On/Off,61
ENGINE/ECU INPUTS,Enginebit: Warmup,On/Off,59
ENGINE/ECU INPUTS,Flex Fuel Correction,%,20
ENGINE/ECU INPUTS,Fuel Pressure,Bar,202
ENGINE/ECU INPUTS,Fuel Temperature,Celsius,499
ENGINE/ECU INPUTS,Fuel Trim 1,%,17
ENGINE/ECU INPUTS,Fuel Trim 2,%,18
ENGINE/ECU INPUTS,Fuel flow,-,490
ENGINE/ECU INPUTS,Ignition Dwell,-,26
ENGINE/ECU INPUTS,Intake Air Temperature,Celsius,27
ENGINE/ECU INPUTS,Knock Advance Retard,deg,28
ENGINE/ECU INPUTS,Knock Percentage,%,29
ENGINE/ECU INPUTS,Lambda 1,-,254
ENGINE/ECU INPUTS,Lambda 2,-,255
ENGINE/ECU INPUTS,Lambda Target 1,-,256
ENGINE/ECU INPUTS,Lambda Target 2,-,257
