Category,Realdash Name,Units,Target ID,id,type,unit,name,desc,Idle Expected,Cruise Expected,WOT Expected,Accessport Monitor,match_status,match_score,match_name,candidate_match_name,candidate_match_score
ENGINE/ECU INPUTS,AFR 1,AFR,0,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.53
ENGINE/ECU INPUTS,AFR 2,AFR,1,,,,,,,,,,UNMATCHED,,,Mass Airflow Sensor Voltage,0.43
ENGINE/ECU INPUTS,AFR Target 1,AFR,2,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.69
ENGINE/ECU INPUTS,AFR Target 2,AFR,3,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.62
ENGINE/ECU INPUTS,Accel Enrich,ms,4,,,,,,,,,,UNMATCHED,,,Sub Accelerator Sensor,0.64
ENGINE/ECU INPUTS,Barometric Correction,%,10,,,,,,,,,,UNMATCHED,,,A/F Correction #1 (4-byte)*,0.73
ENGINE/ECU INPUTS,Barometric Pressure,kPa,11,P24,Standard,kPa,Atmospheric Pressure,P24,-,-,-,Barometric Pressure,MATCHED,1.00,Atmospheric Pressure,Atmospheric Pressure,1.00
ENGINE/ECU INPUTS,Battery Voltage,v,12,P17,Standard,V,Battery Voltage,P17,13.5 - 14.5 V,13.5 - 14.5 V,13.5 - 14.5 V,Battery Voltage,MATCHED,1.00,Battery Voltage,Battery Voltage,1.00
ENGINE/ECU INPUTS,Boost Target (kPa),kPa,270,,,,,,,,,,UNMATCHED,,,Boost Error*,0.52
ENGINE/ECU INPUTS,Check Engine Light,On/Off,65,,,,,,,,,,UNMATCHED,,,Intake VVT Advance Angle Right,0.56
ENGINE/ECU INPUTS,Cold Advance,deg,13,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Additive*,0.50
ENGINE/ECU INPUTS,Coolant Pressure,Bar,759,,,,,,,,,,UNMATCHED,,,Fuel Tank Pressure,0.75
ENGINE/ECU INPUTS,Coolant Temperature,Celsius,14,P2,Standard,C,Coolant Temperature,P2,80 - 96 C,80 - 96 C,80 - 96 C,Coolant Temp,MATCHED,1.00,Coolant Temperature,Coolant Temperature,1.00
ENGINE/ECU INPUTS,EGT1,Celsius,106,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.33
ENGINE/ECU INPUTS,EGT10,Celsius,115,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.32
ENGINE/ECU INPUTS,EGT11,Celsius,116,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.32
ENGINE/ECU INPUTS,EGT12,Celsius,117,,,,,,,,,,UNMATCHED,,,A/F Learning #1 A (Stored)*,0.32
ENGINE/ECU INPUTS,EGT2,Celsius,107,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.33
ENGINE/ECU INPUTS,EGT3,Celsius,108,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.33
ENGINE/ECU INPUTS,EGT4,Celsius,109,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.33
ENGINE/ECU INPUTS,EGT5,Celsius,110,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.33
ENGINE/ECU INPUTS,EGT6,Celsius,111,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.33
ENGINE/ECU INPUTS,EGT7,Celsius,112,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.33
ENGINE/ECU INPUTS,EGT8,Celsius,113,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.33
ENGINE/ECU INPUTS,EGT9,Celsius,114,,,,,,,,,,UNMATCHED,,,Primary Wastegate Duty Maximum* (4-byte)*,0.33
ENGINE/ECU INPUTS,Engine Load,%,100,,,,,,,,,,UNMATCHED,,,Engine Load (4-Byte)*,0.76
ENGINE/ECU INPUTS,Engine Oil Pressure,Bar,151,,,,,,,,,,UNMATCHED,,,Fuel Tank Pressure,0.65
ENGINE/ECU INPUTS,Engine Oil Temperature,Celsius,152,P11,Standard,C,Intake Air Temperature,P11,Ambient + Heatsoak,~Ambient,~Ambient,Intake Temp,MATCHED,0.83,Intake Air Temperature,Intake Air Temperature,0.83
ENGINE/ECU INPUTS,Engine Runtime (sec),s,33,,,,,,,,,,UNMATCHED,,,Engine Speed,0.60
ENGINE/ECU INPUTS,Enginebit: Antiflood,On/Off,393,,,,,,,,,,UNMATCHED,,,Engine Load (4-Byte)*,0.53
ENGINE/ECU INPUTS,Enginebit: Closed Loop Active,On/Off,395,,,,,,,,,,UNMATCHED,,,Engine Load (Calculated),0.55
ENGINE/ECU INPUTS,Enginebit: Cranking,On/Off,57,,,,,,,,,,UNMATCHED,,,Engine Speed,0.45
ENGINE/ECU INPUTS,Enginebit: Fuel Cut Active,On/Off,406,,,,,,,,,,UNMATCHED,,,Engine Load (Calculated),0.54
ENGINE/ECU INPUTS,Enginebit: Idle,On/Off,396,,,,,,,,,,UNMATCHED,,,Engine Speed,0.59
ENGINE/ECU INPUTS,Enginebit: Launch Control,On/Off,394,,,,,,,,,,UNMATCHED,,,Engine Load (4-Byte)*,0.51
ENGINE/ECU INPUTS,Enginebit: MAP accel active,On/Off,62,,,,,,,,,,UNMATCHED,,,Engine Speed,0.51
ENGINE/ECU INPUTS,Enginebit: MAP deaccel active,On/Off,63,,,,,,,,,,UNMATCHED,,,Knock Correction Advance Additive*,0.50
ENGINE/ECU INPUTS,Enginebit: Overrun,On/Off,397,,,,,,,,,,UNMATCHED,,,Engine Speed,0.53
ENGINE/ECU INPUTS,Enginebit: Running,On/Off,56,,,,,,,,,,UNMATCHED,,,Engine Speed,0.47
ENGINE/ECU INPUTS,Enginebit: Startup Enrich,On/Off,58,,,,,,,,,,UNMATCHED,,,Engine Speed,0.54
ENGINE/ECU INPUTS,Enginebit: TPS accel active,On/Off,60,,,,,,,,,,UNMATCHED,,,Engine Speed,0.51
